id	name	long_name	specie
1	N++	N${}^{++}$	N++
2	N+	N${}^+$	N+
3	N+_2s22p2_3P	N${}^+$ ($2s^22p^2$ ${}^3P$)	N+
4	N+_2s12p3_1D	N${}^+$ ($2s^22p^2$ ${}^1D$)	N+
5	N+_2s12p3_1S	N${}^+$ ($2s^22p^2$ ${}^1S$)	N+
6	N2+	N${}_2^+$	N2+
7	N2+(C2Sigmau+)	N${}^+_2$ (C ${}^2\Sigma_u^+$)	N2+
8	N2+(C2Sigmau+)	N${}^+_2$ (C ${}^2\Sigma_u^+$)	N2+
9	N2+(B2Sigmau+)	N${}^+_2$ (B ${}^2\Sigma_u^+$)	N2+
10	N2+(B2Sigmau+)	N${}^+_2$ (B ${}^2\Sigma_u^+$)	N2+
11	N2+(A2Piu)	N${}^+_2$ (A $^2\Pi_u$)	N2+
12	N2+(X2Sigmag+)	N${}^+_2$ (X ${}^2\Sigma_g^+$)	N2+
13	N2+(D2Pig)	N${}^+_2$ (D ${}^2\Pi_g$)	N2+
14	N2+(D2Pig)	N${}^+_2$ (D ${}^2\Pi_g$)	N2+
15	N2	N${}_2$	N2
16	N2(X1Sigmag+)	N${}_2$ (X ${}^1\Sigma_g^+$)	N2
17	N2(A3Sigmau+)	N${}_2$ (A ${}^3\Sigma_u^+$)	N2
18	N2(B3Pig)	N${}_2$ (B ${}^3\Pi_g$)	N2
19	N2(W3Deltau)	N${}_2$ (W ${}^3\Delta_u$)	N2
20	N2(Bp3Sigmau-)	N${}_2$ (B${}^{'} $ ${}^3\Sigma_u^-$)	N2
21	N2(ap1Sigmau-)	N${}_2$ (a${}^{'}$ ${}^1\Sigma_u^-$)	N2
22	N2(a1Pig)	N${}_2$ (a ${}^1\Pi_g$)	N2
23	N2(w1Deltau)	N${}_2$ (w ${}^1\Delta_u$)	N2
24	N2(C3Piu)	N${}_2$ (C ${}^3\Pi_u$)	N2
25	N2(E3Sigmag+)	N${}_2$ (E ${}^3\Sigma_g^+$)	N2
26	N2(app1Sigmag+)	N${}_2$ (a${}^{''}$ ${}^1\Sigma_g^+$)	N2
27	N2(c4p1Sigmau+)	N${}_2$ (c${}_4^{'}$ ${}^1\Sigma_u^+$)	N2
28	N	N	N
29	N_2s22p3_4So	N($2s^22p^3$ ${}^4\text{S}^\text{o}$)	N
30	N_2s22p3_2Do	N($2s^22p^3 {}^2D^\text{o}$)	N
31	N_2s22p3_2Po	N($2s^22p^3 {}^2P^\text{o}$)	N
32	N_2s22p2_3P_3s_4P	N($2s^22p^2$(${}^3P$)3s ${}^4P$)	N
33	N_2s22p2_3P_3s_2P	N($2s^22p^2$(${}^3P$)3s ${}^2P$)	N
34	N_2s22p4_4P	N($2s^22p^4$ ${}^4\text{P}$)	N
35	N_2s22p2_3P_3p_2So	N($2s^22p^2$(${}^3\text{P}$)3p ${}^2S^\text{o}$)	N
36	N_2s22p2_3P_3p_4Do	N($2s^22p^2$(${}^3\text{P}$)3p ${}^4D^\text{o}$)	N
37	N_2s22p2_3P_3p_4Po	N($2s^22p^2$(${}^3\text{P}$)3p ${}^4P^\text{o}$)	N
38	N_2s22p2_3P_3p_4So	N($2s^22p^2$(${}^3P$)3p ${}^4S^\text{o}$)	N
39	N_2s22p2_3P_3p_2Do	N($2s^22p^2$(${}^3P$)3p ${}^2D^\text{o}$)	N
40	N_2s22p2_3P_3p_2Po	N($2s^22p^2$(${}^3P$)3p ${}^2P^\text{o}$)	N
41	N_2s22p2_1D_3s_2D	N($2s^22p^2$(${}^1D$)3s ${}^2D$)	N
42	N_2s22p2_3P_4s_4P	N($2s^22p^2$(${}^3P$)4s ${}^4P$)	N
43	N_2s22p2_3P_4s_2P	N($2s^22p^2$(${}^3P$)4s ${}^2P$)	N
44	N_2s22p2_3P_3d_2P	N($2s^22p^2$(${}^3P$)3d ${}^2P$)	N
45	N_2s22p2_3P_3d_4F	N($2s^22p^2$(${}^3P$)3d ${}^4F$)	N
46	N_2s22p2_3P_3d_4P	N($2s^22p^2$(${}^3P$)3d ${}^4P$)	N
47	N_2s22p2_3P_3d_2F	N($2s^22p^2$(${}^3P$)3d ${}^2F$)	N
48	N_2s22p2_3P_3d_4D	N($2s^22p^2$(${}^3P$)3d ${}^4D$)	N
49	N_2s22p2_3P_3d_2D	N($2s^22p^2$(${}^3P$)3d ${}^2D$)	N
50	N_2s22p2_3P_4p_2So	N($2s^22p^2$(${}^3P$)4p ${}^2S^\text{o}$)	N
51	N_2s22p2_3P_4p_4Do	N($2s^22p^2$(${}^3P$)4p ${}^4D^\text{o}$)	N
52	N_2s22p2_3P_4p_4Po	N($2s^22p^2$(${}^3P$)4p ${}^4P^\text{o}$)	N
53	N_2s22p2_3P_4p_2Do	N($2s^22p^2$(${}^3P$)4p ${}^2D^\text{o}$)	N
54	N_2s22p2_3P_4p_4So	N($2s^22p^2$(${}^3P$)4p ${}^4S^\text{o}$)	N
55	N_2s22p2_3P_4p_2Po	N($2s^22p^2$(${}^3P$)4p ${}^2P^\text{o}$)	N
