x,Nii
0.0451,2.81714
0.3532,2.8552
0.6612,2.89326
0.9253,2.9284
1.2332,2.96059
1.5264,2.99279
1.585,2.99864
1.8929,3.03082
2.1314,3.05466
2.1567,3.02377
2.1845,2.98249
2.1932,2.9818
2.4184,3.00421
2.7409,3.03639
3.0634,3.06857
3.3858,3.09782
3.7228,3.12706
4.0306,3.15631
4.3529,3.17968
4.6752,3.20599
4.9974,3.22937
5.3197,3.25568
5.6273,3.27612
5.9495,3.29656
6.2716,3.317
6.6084,3.33743
6.9451,3.35492
7.2672,3.37243
7.6039,3.38992
7.9258,3.40155
8.0575,3.40737
8.4087,3.41899
8.76,3.43648
9.0966,3.45104
9.4477,3.45972
9.7842,3.46841
